	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
GOM	2.80792994217936	2.370107582549935	2.7580398281889154	2.46620922350049	3.04914493504368	2.817631264725165	3.5410857020783104	2.837215306670125	2.8136116845228396	2.9307580921944947	2.89984843142933	2.8817373543670897	2.60043007236302	2.37373101024265	3.1481842666879203	3.13661882492565	4.223633311607915	2.3582200682482197	2.0592366522274097	2.17409456110948		2.41649640086239	2.96806546496413	2.67550909714952	2.93737805489502	2.751531577217435	2.7790572355553502	2.6674926300815045	2.6187796013432	2.6307837524228304	2.5301859170538252	2.614934520474395	3.1306444468232852	3.2085239004595403
MAD	2.8329215819787597	2.2621777941858903	2.696499929619795	2.5608781084876	3.122980663763305	2.7389403715658354	3.5156075677266	2.92429226050073	2.9216176366138398	3.1013364236855496	2.87514662019097	2.74671062513793	2.65045538741503	2.46017207316204	3.4038606774320495	3.4456584375571	4.252406130688691	2.38756797167937	2.4641962447939503	2.37525602313511	2.438215182710845		4.08931382369577	2.93640677545052	3.012533639979055	2.7532884835685705	2.86317676445422	2.82469551418464	2.7123616599555254	2.7051364326331697	2.65729694247987	2.5378072957799502	3.22531918087929	3.1904759180075
RAD	2.9915436145876804	2.35815329317987	2.83368017860618	2.7642399409894	3.3951844482834397	3.0070464535399255	3.5788356129169703	3.2072664870446497	2.970416319471455	3.1431210700182097	3.0689279299857253	2.7999795408786405	2.772732819503485	2.5295392804485948	3.700937958782375	3.53380169735003	4.39892448740606	2.910075948511425	3.3452814223678704	2.9587771552437347	3.091643279256335	3.993771865679725		3.2692531486999705	3.32337705253996	3.0592584553735502	3.349962841372335	3.0332689795842844	3.0094816024931097	2.98324193040043	2.7846323826244452	2.6538851974105	3.29563306589689	3.20014295613346
PAD	2.77680293882128	2.290835481385025	2.705182099436235	2.4904633498236497	3.1522239718018197	2.74774534471021	3.44887654930507	2.4566361732788	2.38413864695311	2.3429300585799	2.3914004198956698	2.750147830670995	2.5924929318649	2.5778732040650905	3.49795966437105	3.32670119805538	4.17965273780373	2.2687018781565897	2.4414629912665	2.25875586249577	2.16056175158104	2.32187068879852	2.78680775867533		2.8948128370345803	2.751158991239895	2.8456161496272703	2.7812383559466403	2.75704863785389	2.7104979532251297	2.57144620956452	2.42032069435396	3.2969991930568	3.18830115048892
LIN	2.977323285140225	2.3543213059880648	2.8574572901672797	2.51690928638225	3.06505872952883	2.6987579512343403	3.34366332165213	3.0368095132773596	2.98733568167185	3.09722462825806	2.940611931798295	2.6336797496801747	2.47488836482298	2.4126445214549648	3.12555201363257	3.2493186248245602	4.280295480769025	2.2689312381107203	2.3279717712194103	2.1317286166733505	2.09488757104895	2.46417159105049	2.7026838229419052	2.49112176240763		2.4722545062779098	2.6910494412411454	2.6155443359498	2.58675315077547	2.6427412487765496	2.39817530044862	2.2290300196681647	3.3469712751344596	3.1674712201645603
MAS	2.85589211029364	2.32304570729554	2.705761138996515	2.4686144664492344	3.0500159734371204	2.65776203568832	3.1600154784561902	2.81328400968817	2.91891733095447	2.82961528869942	2.8335985127414602	2.528313726803275	2.42852532425354	2.33454971685538	2.899400702874865	3.089924355352525	4.00758240365018	2.226693779840975	2.16346671414465	2.0464635152924346	2.056029296176675	2.15278917359025	2.3921919500848503	2.29346451234768	2.69004541938805		2.8395946902825244	2.62427087109956	2.821288026644515	2.85485221020929	2.6850725603213697	2.64162392224356	3.3758505628434152	3.19506215228285
RHO	2.9852116025932247	2.38957108959423	2.87264000165378	2.69317161443874	3.12836724691091	2.7097280741442997	3.47646765967062	3.2271525895666597	3.02213989601686	3.2641640895016852	3.085630005131695	2.69677955212542	2.61136118209721	2.609225340857375	3.177437939362135	3.27111874701584	4.380027572432285	2.096712480820475	2.08295020425016	1.90505607521025	2.01485919967152	2.25062031675429	2.41416079865787	2.4682155067564904	3.26822710432065	2.837443951750365			2.859951854463815	4.66968329689915	2.397690644890245	2.6195077571585803	3.334012749300685	3.23603488393627
TA	2.8471498905147596	2.36315414247183	2.84676569329555	2.35532142505281	2.8515268494773895	2.460532241150985	3.1185666745514595	2.82686030044971	2.7139980882422297	2.6804178038058053	2.5767477817658397	2.48201135865445	2.367704083548325	2.25305171900399	2.60917664802429	2.739074999887125	4.2757643012425195	2.0006251590089548	1.925458004894875	1.8328877252529698	1.8451262935349801	1.9185637904768051	2.04773942863296	2.167475889050015	2.8326241525471003	2.89905548031107	3.88421123571504		2.4241696914149404	3.1394416343394798	2.4024734368313503	2.44310824743406	3.2194525693506497	3.1096136622159296
GAS-L	2.60837934647601	2.21336616609162	2.7313276551565897	2.29545220145921	2.7892063427639053	2.4115854274626196	2.8749756762399796	2.6543498853627048	2.58160958443047	2.51814455715644	2.527004525542055	2.39714599180301	2.23758398755998	2.16946823524613	2.3913787656733554	2.5238327797641	3.84317360700277	2.0188150229676203	1.90094786658613	1.8165710080994901	1.878230647530965	1.9407499595788202	2.09007694234324	2.11585887008615	2.8002758084318105	2.47100368685068	2.481876227589745	2.06453612597844			1.908272314469425	2.16231138246454	3.09937897176179	2.8912034623779697
GM	2.86943556388574	2.3588101445137797	2.8890742992631298	2.461259294584795	2.9609010314152044	2.52050095123592	2.96829986386219	2.8384812632969303	2.7140563656103702	2.60513343404338	2.72287190292581	2.4396697565564502	2.5031435943293596	2.30348298256311	2.63775070098858	2.7040396033114953	4.32130669395386	2.10265483945848	1.9579158169803201	1.88674746940298	1.922919086934955	2.044743888503305	2.19105154293581	2.2053905415195505	3.1010955396745645	2.57611203485305	3.116685023411165	2.573534182676835	3.4517266839455303		1.87044949072725	2.5126433572099396	3.24017457241395	3.1223994258329397
PM	2.91510632273613	2.43119406040912	2.90422902856915	2.56314911093431	3.0927004044348103	2.649910610490455	3.1382090331940495	2.9310925790077453	2.9792755832074653	2.65838236405368	2.99145105544155	2.62338590461457	2.52382865815438	2.33604506266929	2.772952303109405	2.8862736197331396	4.26437469000785	2.13541276586154	2.0875506506484696	2.014535967276995	1.9744860012808099	2.11700590625426	2.2811581872112403	2.29614899895265	2.91278223297403	2.42914049369357	3.21758627775088	2.48894581345924	2.61304478864359	2.3235922129681		2.040142667096475	3.27013593221257	3.098820745333855
SOL	2.66537351705166	2.18035205001462	2.620548336865265	2.3126211734460798	2.75233199029429	2.35210472053573	3.08397170659436	2.4879831225398146	2.68684854397607	2.58031893735156	2.57603853985285	2.37270421911506	2.24889836540105	2.10751715219331	2.40602244996252	2.54557343325178	4.006672060809414	1.8814757575376349	1.88536003413012	1.8301356207862198	1.81437588391849	1.907740168663735	2.02450686651339	2.0570256474865802	2.49399851951008	1.939226248730865	2.19735395069155	2.259604291789615	2.15496790071792	2.0496080128095198	1.8005562600400449		3.1293883121236403	3.0383699673764597
PIEC	4.65550972252834	3.8784543201721347	4.12430762530718	4.019741915629311	3.85188780935831	3.9764609291616897	4.032388854701335	4.14872826209275	4.254657872155921	4.126881297415689	4.145200184950985	4.27578027530696	3.953914792046285	3.7936312211810597	4.26394858354614	4.08949800959399	6.083987428454799	3.83762293019796	3.7409177423888904	3.865960678906405	3.6859289268001403	4.02010488106845	4.028504401161585	4.04176885271862	4.24076726676594	4.0098173151588306	3.95930005607871	3.9175188722922005	3.80507250081379	3.7306168140875853	3.75067593411905	3.9582664918653303		3.98826094215511
PK15	4.645495479292009	3.98424565741309	4.31319444396691	4.679729906052345	4.198663306196259	5.0898804906535196	4.358247742854029	4.638903241609531	4.539350068174915	4.736759256940536	4.39818203762638	4.46892760134191	4.68743023139418	4.21846738717624	4.28200332211165	4.738495067608415	6.223626879502669	4.18030309110216	4.10374062194896	4.1276230172384505	4.064247673286845	4.44832414200623	4.33360620654275	4.47162385477929	4.49434778498237	4.37996457042088	4.0886896699900195	4.1597886895948	4.06431079824639	4.134821002230005	3.94357556650952	4.20884392687667	4.7435047975430145	
